PA0041	gnl|AGSH|F1S1R1D1B1P1A09_41	98.952	10600	3722	3722	3683	adhesin	
PA1148	gnl|AGSH|F1S1R1D1B1P1A09_1	99.426	1917	514470	1917	1906	toxin	toxA
PA1157	gnl|AGSH|F1S1R1D1B1P1A09_1	99.437	711	514470	711	707	other	
PA1009	gnl|AGSH|F1S1R1D1B1P1A09_1	100.0	558	514470	558	558	other	
PA1077	gnl|AGSH|F1S1R1D1B1P1A09_1	100.0	408	514470	408	408	surface appendages	flgB
PA1078	gnl|AGSH|F1S1R1D1B1P1A09_1	99.773	441	514470	441	440	surface appendages	flgC
PA1079	gnl|AGSH|F1S1R1D1B1P1A09_1	100.0	714	514470	714	714	surface appendages	flgD
PA1080	gnl|AGSH|F1S1R1D1B1P1A09_1	99.712	1389	514470	1389	1385	surface appendages	flgE
PA1081	gnl|AGSH|F1S1R1D1B1P1A09_1	100.0	750	514470	750	750	surface appendages	flgF
PA1180	gnl|AGSH|F1S1R1D1B1P1A09_1	99.777	1347	514470	1347	1344	other	phoQ
PA1248	gnl|AGSH|F1S1R1D1B1P1A09_1	99.723	1446	514470	1446	1442	other	aprF
PA1249	gnl|AGSH|F1S1R1D1B1P1A09_1	99.583	1440	514470	1440	1434	protease	aprA
PA1423	gnl|AGSH|F1S1R1D1B1P1A09_13	99.282	1254	226472	1254	1245	other	bdlA
PA1430	gnl|AGSH|F1S1R1D1B1P1A09_13	99.861	720	226472	721	720	quorum sensing	lasR
PA1432	gnl|AGSH|F1S1R1D1B1P1A09_13	100.0	606	226472	606	606	quorum sensing	lasI
PA1441	gnl|AGSH|F1S1R1D1B1P1A09_13	99.688	1284	226472	1284	1280	surface appendages	
PA1442	gnl|AGSH|F1S1R1D1B1P1A09_13	100.0	522	226472	522	522	surface appendages	
PA1443	gnl|AGSH|F1S1R1D1B1P1A09_13	100.0	972	226472	972	972	surface appendages	fliM
PA1444	gnl|AGSH|F1S1R1D1B1P1A09_13	100.0	474	226472	474	474	surface appendages	fliN
PA1445	gnl|AGSH|F1S1R1D1B1P1A09_13	99.779	453	226472	453	452	surface appendages	fliO
PA1446	gnl|AGSH|F1S1R1D1B1P1A09_13	99.87	768	226472	768	767	surface appendages	fliP
PA1447	gnl|AGSH|F1S1R1D1B1P1A09_13	100.0	270	226472	270	270	surface appendages	fliQ
PA1448	gnl|AGSH|F1S1R1D1B1P1A09_13	99.356	777	226472	777	772	surface appendages	fliR
PA1449	gnl|AGSH|F1S1R1D1B1P1A09_13	99.56	1137	226472	1137	1132	surface appendages	flhB
PA1452	gnl|AGSH|F1S1R1D1B1P1A09_13	99.718	2124	226472	2124	2118	surface appendages	flhA
PA1453	gnl|AGSH|F1S1R1D1B1P1A09_13	99.69	1290	226472	1290	1286	surface appendages	flhF
PA1454	gnl|AGSH|F1S1R1D1B1P1A09_13	100.0	843	226472	843	843	surface appendages	fleN
PA1455	gnl|AGSH|F1S1R1D1B1P1A09_13	99.866	744	226472	744	743	surface appendages	fliA
PA1460	gnl|AGSH|F1S1R1D1B1P1A09_13	99.865	741	226472	741	740	surface appendages	motC
PA1461	gnl|AGSH|F1S1R1D1B1P1A09_13	100.0	891	226472	891	891	surface appendages	motD
PA1587	gnl|AGSH|F1S1R1D1B1P1A09_7	99.652	1437	340935	1437	1432	other	lpd
PA1596	gnl|AGSH|F1S1R1D1B1P1A09_7	99.738	1905	340935	1905	1900	other	htpG
PA1656	gnl|AGSH|F1S1R1D1B1P1A09_7	99.679	1557	340935	1557	1552	secretion systems	hsiA2
PA1657	gnl|AGSH|F1S1R1D1B1P1A09_7	99.408	507	340935	507	504	secretion systems	hsiB2
PA1658	gnl|AGSH|F1S1R1D1B1P1A09_7	99.526	1476	340935	1476	1469	secretion systems	hsiC2
PA1659	gnl|AGSH|F1S1R1D1B1P1A09_7	99.265	408	340935	408	405	secretion systems	hsiF2
PA1660	gnl|AGSH|F1S1R1D1B1P1A09_7	98.735	1581	340935	1581	1561	secretion systems	hsiG2
PA1661	gnl|AGSH|F1S1R1D1B1P1A09_7	99.107	1008	340935	1008	999	secretion systems	hsiH2
PA1662	gnl|AGSH|F1S1R1D1B1P1A09_7	99.203	2634	340935	2634	2613	secretion systems	clpV2
PA1663	gnl|AGSH|F1S1R1D1B1P1A09_7	99.735	1512	340935	1512	1508	secretion systems	sfa2
PA1664	gnl|AGSH|F1S1R1D1B1P1A09_7	100.0	141	340935	141	141	secretion systems	orfX
PA1665	gnl|AGSH|F1S1R1D1B1P1A09_7	99.162	1194	340935	1194	1184	secretion systems	fha2
PA1666	gnl|AGSH|F1S1R1D1B1P1A09_7	99.408	507	340935	507	504	secretion systems	lip2
PA1667	gnl|AGSH|F1S1R1D1B1P1A09_7	99.625	1332	340935	1332	1327	secretion systems	hsiJ2
PA1690	gnl|AGSH|F1S1R1D1B1P1A09_7	99.619	1050	340935	1050	1046	secretion systems	pscU
PA1691	gnl|AGSH|F1S1R1D1B1P1A09_7	99.113	789	340935	789	782	secretion systems	pscT
PA1692	gnl|AGSH|F1S1R1D1B1P1A09_7	99.625	267	340935	267	266	secretion systems	
PA1693	gnl|AGSH|F1S1R1D1B1P1A09_7	99.541	654	340935	654	651	secretion systems	pscR
PA1694	gnl|AGSH|F1S1R1D1B1P1A09_7	99.355	930	340935	930	924	secretion systems	pscQ
PA1695	gnl|AGSH|F1S1R1D1B1P1A09_7	97.748	1110	340935	1110	1085	secretion systems	pscP
PA1696	gnl|AGSH|F1S1R1D1B1P1A09_7	100.0	477	340935	477	477	secretion systems	pscO
PA1697	gnl|AGSH|F1S1R1D1B1P1A09_7	99.017	1323	340935	1323	1310	secretion systems	
PA1698	gnl|AGSH|F1S1R1D1B1P1A09_7	99.769	867	340935	867	865	secretion systems	popN
PA1699	gnl|AGSH|F1S1R1D1B1P1A09_7	100.0	279	340935	279	279	secretion systems	pcr1
PA1700	gnl|AGSH|F1S1R1D1B1P1A09_7	99.462	372	340935	372	370	secretion systems	pcr2
PA1701	gnl|AGSH|F1S1R1D1B1P1A09_7	98.634	366	340935	366	361	secretion systems	pcr3
PA1702	gnl|AGSH|F1S1R1D1B1P1A09_7	99.697	330	340935	330	329	secretion systems	pcr4
PA1703	gnl|AGSH|F1S1R1D1B1P1A09_7	99.34	2121	340935	2121	2107	secretion systems	pcrD
PA1704	gnl|AGSH|F1S1R1D1B1P1A09_7	100.0	435	340935	435	435	secretion systems	pcrR
PA1705	gnl|AGSH|F1S1R1D1B1P1A09_7	100.0	288	340935	288	288	secretion systems	pcrG
PA1706	gnl|AGSH|F1S1R1D1B1P1A09_7	99.548	885	340935	885	881	secretion systems	pcrV
PA1707	gnl|AGSH|F1S1R1D1B1P1A09_7	98.817	504	340935	507	501	secretion systems	pcrH
PA1708	gnl|AGSH|F1S1R1D1B1P1A09_7	99.488	1173	340935	1173	1167	secretion systems	popB
PA1709	gnl|AGSH|F1S1R1D1B1P1A09_7	99.662	888	340935	888	885	secretion systems	popD
PA1710	gnl|AGSH|F1S1R1D1B1P1A09_7	98.63	438	340935	438	432	secretion systems	exsC
PA1711	gnl|AGSH|F1S1R1D1B1P1A09_7	97.154	246	340935	246	239	secretion systems	exsE
PA1712	gnl|AGSH|F1S1R1D1B1P1A09_7	97.826	414	340935	414	405	secretion systems	exsB
PA1713	gnl|AGSH|F1S1R1D1B1P1A09_7	99.761	837	340935	837	835	secretion systems	exsA
PA1714	gnl|AGSH|F1S1R1D1B1P1A09_7	99.519	831	340935	831	827	secretion systems	exsD
PA1715	gnl|AGSH|F1S1R1D1B1P1A09_7	100.0	423	340935	423	423	secretion systems	pscB
PA1716	gnl|AGSH|F1S1R1D1B1P1A09_7	99.445	1803	340935	1803	1793	secretion systems	pscC
PA1717	gnl|AGSH|F1S1R1D1B1P1A09_7	99.769	1299	340935	1299	1296	secretion systems	pscD
PA1718	gnl|AGSH|F1S1R1D1B1P1A09_7	99.02	204	340935	204	202	secretion systems	pscE
PA1719	gnl|AGSH|F1S1R1D1B1P1A09_7	100.0	258	340935	258	258	secretion systems	pscF
PA1720	gnl|AGSH|F1S1R1D1B1P1A09_7	99.713	348	340935	348	347	secretion systems	pscG
PA1721	gnl|AGSH|F1S1R1D1B1P1A09_7	99.769	432	340935	432	431	secretion systems	pscH
PA1722	gnl|AGSH|F1S1R1D1B1P1A09_7	99.705	339	340935	339	338	secretion systems	pscI
PA1723	gnl|AGSH|F1S1R1D1B1P1A09_7	99.465	747	340935	747	743	secretion systems	pscJ
PA1724	gnl|AGSH|F1S1R1D1B1P1A09_7	98.405	627	340935	627	617	secretion systems	pscK
PA1725	gnl|AGSH|F1S1R1D1B1P1A09_7	99.845	645	340935	645	644	secretion systems	pscL
PA1803	gnl|AGSH|F1S1R1D1B1P1A09_7	99.833	2397	340935	2397	2393	protease	lon
PA1814	gnl|AGSH|F1S1R1D1B1P1A09_7	99.475	762	340935	762	758	other	kerV
PA1863	gnl|AGSH|F1S1R1D1B1P1A09_7	98.942	756	340935	756	748	other	modA
PA1871	gnl|AGSH|F1S1R1D1B1P1A09_7	99.284	1257	340935	1257	1248	protease	lasA
PA1899	gnl|AGSH|F1S1R1D1B1P1A09_25	99.796	489	71604	489	488	toxin	phzA2
PA1900	gnl|AGSH|F1S1R1D1B1P1A09_25	99.796	489	71604	489	488	toxin	phzB2
PA1901	gnl|AGSH|F1S1R1D1B1P1A09_70	99.586	1218	725	725	722	toxin	phzC2
PA1902	gnl|AGSH|F1S1R1D1B1P1A09_62	99.029	624	992	412	408	toxin	phzD2
PA1903	gnl|AGSH|F1S1R1D1B1P1A09_61	99.629	1884	1079	1079	1075	toxin	phzE2
PA1904	gnl|AGSH|F1S1R1D1B1P1A09_82	99.367	837	569	474	471	toxin	phzF2
PA1905	gnl|AGSH|F1S1R1D1B1P1A09_86	100.0	648	540	516	516	toxin	phzG2
PA1927	gnl|AGSH|F1S1R1D1B1P1A09_20	98.783	2301	87587	2301	2273	other	metE
PA2023	gnl|AGSH|F1S1R1D1B1P1A09_10	99.881	840	260582	840	839	LPS	galU
PA2146	gnl|AGSH|F1S1R1D1B1P1A09_10	99.405	168	260582	168	167	other	
PA2191	gnl|AGSH|F1S1R1D1B1P1A09_10	99.736	1137	260582	1137	1134	toxin	exoY
PA2193	gnl|AGSH|F1S1R1D1B1P1A09_10	100.0	315	260582	315	315	quorum sensing	hcnA
PA2194	gnl|AGSH|F1S1R1D1B1P1A09_10	99.642	1395	260582	1395	1390	quorum sensing	hcnB
PA2195	gnl|AGSH|F1S1R1D1B1P1A09_10	99.522	1254	260582	1254	1248	quorum sensing	hcnC
PA2273	gnl|AGSH|F1S1R1D1B1P1A09_22	99.151	471	78386	471	467	other	soxR
PA2359	gnl|AGSH|F1S1R1D1B1P1A09_16	99.816	1086	187560	1086	1084	secretion systems	
PA2360	gnl|AGSH|F1S1R1D1B1P1A09_16	99.364	1101	187560	1100	1093	secretion systems	hsiA3
PA2361	gnl|AGSH|F1S1R1D1B1P1A09_16	99.738	3816	187560	3816	3806	secretion systems	icmF3
PA2362	gnl|AGSH|F1S1R1D1B1P1A09_16	97.76	759	187560	759	742	secretion systems	dotU3
PA2363	gnl|AGSH|F1S1R1D1B1P1A09_16	98.649	1332	187560	1332	1314	secretion systems	hsiJ3
PA2364	gnl|AGSH|F1S1R1D1B1P1A09_16	99.364	477	187560	472	469	secretion systems	lip3
PA2365	gnl|AGSH|F1S1R1D1B1P1A09_16	99.634	546	187560	546	544	secretion systems	hsiB3
PA2366	gnl|AGSH|F1S1R1D1B1P1A09_16	99.596	1485	187560	1485	1479	secretion systems	hsiC3
PA2367	gnl|AGSH|F1S1R1D1B1P1A09_16	99.398	498	187560	498	495	secretion systems	hcp3
PA2368	gnl|AGSH|F1S1R1D1B1P1A09_16	98.826	426	187560	426	421	secretion systems	hsiF3
PA2369	gnl|AGSH|F1S1R1D1B1P1A09_16	99.498	1794	187560	1794	1785	secretion systems	hsiG3
PA2370	gnl|AGSH|F1S1R1D1B1P1A09_16	99.667	900	187560	900	897	secretion systems	hsiH3
PA2371	gnl|AGSH|F1S1R1D1B1P1A09_16	99.843	2550	187560	2540	2536	secretion systems	clpV3
PA2373	gnl|AGSH|F1S1R1D1B1P1A09_16	98.97	2007	187560	1845	1826	secretion systems	vgrG3
PA2385	gnl|AGSH|F1S1R1D1B1P1A09_16	99.519	2289	187560	2289	2278	siderophores	pvdQ
PA2386	gnl|AGSH|F1S1R1D1B1P1A09_16	99.249	1332	187560	1332	1322	siderophores	pvdA
PA2392	gnl|AGSH|F1S1R1D1B1P1A09_16	99.755	1635	187560	1635	1631	siderophores	pvdP
PA2393	gnl|AGSH|F1S1R1D1B1P1A09_16	99.852	1347	187560	1347	1345	siderophores	
PA2394	gnl|AGSH|F1S1R1D1B1P1A09_16	99.766	1284	187560	1284	1281	siderophores	pvdN
PA2395	gnl|AGSH|F1S1R1D1B1P1A09_16	98.83	855	187560	855	845	siderophores	pvdO
PA2396	gnl|AGSH|F1S1R1D1B1P1A09_16	99.517	828	187560	828	824	siderophores	pvdF
PA2397	gnl|AGSH|F1S1R1D1B1P1A09_16	99.818	1650	187560	1650	1647	siderophores	pvdE
PA2398	gnl|AGSH|F1S1R1D1B1P1A09_16	99.918	2448	187560	2448	2446	siderophores	fpvA
PA2399	gnl|AGSH|F1S1R1D1B1P1A09_16	94.362	7347	187560	4026	3799	siderophores	pvdD
PA2400	gnl|AGSH|F1S1R1D1B1P1A09_16	98.794	6474	187560	1907	1884	siderophores	pvdJ
PA2402	gnl|AGSH|F1S1R1D1B1P1A09_16	98.81	15450	187560	15299	15117	siderophores	pvdI
PA2413	gnl|AGSH|F1S1R1D1B1P1A09_16	99.433	1410	187560	1410	1402	siderophores	pvdH
PA2424	gnl|AGSH|F1S1R1D1B1P1A09_16	99.056	13029	187560	13029	12906	siderophores	pvdL
PA2425	gnl|AGSH|F1S1R1D1B1P1A09_16	99.346	765	187560	765	760	siderophores	pvdG
PA2426	gnl|AGSH|F1S1R1D1B1P1A09_16	100.0	564	187560	564	564	siderophores	pvdS
PA2427	gnl|AGSH|F1S1R1D1B1P1A09_16	99.786	468	187560	468	467	siderophores	
PA2462	gnl|AGSH|F1S1R1D1B1P1A09_37	99.264	16884	7895	7882	7824	other	
PA2523	gnl|AGSH|F1S1R1D1B1P1A09_5	100.0	675	475899	675	675	other	czcR
PA2528	gnl|AGSH|F1S1R1D1B1P1A09_5	99.532	1281	475899	1281	1275	other	muxA
PA2572	gnl|AGSH|F1S1R1D1B1P1A09_5	99.702	1344	475899	1344	1340	other	
PA2573	gnl|AGSH|F1S1R1D1B1P1A09_5	98.694	1608	475899	1608	1587	other	
PA2586	gnl|AGSH|F1S1R1D1B1P1A09_5	99.69	645	475899	645	643	secretion systems	gacA
PA2634	gnl|AGSH|F1S1R1D1B1P1A09_5	99.937	1596	475899	1596	1595	other	aceA
PA2639	gnl|AGSH|F1S1R1D1B1P1A09_5	99.495	1782	475899	1782	1773	other	nuoD
PA2663	gnl|AGSH|F1S1R1D1B1P1A09_5	99.612	258	475899	258	257	other	ppyR
PA2702	gnl|AGSH|F1S1R1D1B1P1A09_5	99.79	477	475899	477	476	toxin	tse2
PA2827	gnl|AGSH|F1S1R1D1B1P1A09_4	100.0	399	477149	399	399	other	
PA2876	gnl|AGSH|F1S1R1D1B1P1A09_4	100.0	699	477149	699	699	other	pyrF
PA2895	gnl|AGSH|F1S1R1D1B1P1A09_4	99.739	765	477149	765	763	other	sbrR
PA2934	gnl|AGSH|F1S1R1D1B1P1A09_4	99.479	960	477149	960	955	other	cif
PA2950	gnl|AGSH|F1S1R1D1B1P1A09_4	99.666	1197	477149	1197	1193	other	fabV
PA2960	gnl|AGSH|F1S1R1D1B1P1A09_4	100.0	357	477149	357	357	surface appendages	pilZ
PA2972	gnl|AGSH|F1S1R1D1B1P1A09_4	99.309	579	477149	579	575	other	
PA2998	gnl|AGSH|F1S1R1D1B1P1A09_4	99.67	1212	477149	1212	1208	other	nqrB
PA3001	gnl|AGSH|F1S1R1D1B1P1A09_4	99.784	1386	477149	1386	1383	other	
PA3115	gnl|AGSH|F1S1R1D1B1P1A09_4	99.855	2760	477149	2760	2756	surface appendages	fimV
PA3141	gnl|AGSH|F1S1R1D1B1P1A09_4	97.87	1998	477149	1972	1930	LPS	wbpM
PA3143	gnl|AGSH|F1S1R1D1B1P1A09_28	95.745	543	49191	47	45	LPS	
PA3173	gnl|AGSH|F1S1R1D1B1P1A09_4	99.325	741	477149	741	736	other	
PA3191	gnl|AGSH|F1S1R1D1B1P1A09_6	99.437	1421	396283	1421	1413	other	gtrS
PA3217	gnl|AGSH|F1S1R1D1B1P1A09_6	99.928	1392	396283	1392	1391	other	cyaB
PA3286	gnl|AGSH|F1S1R1D1B1P1A09_6	99.905	1053	396283	1053	1052	other	
PA3319	gnl|AGSH|F1S1R1D1B1P1A09_6	99.952	2079	396283	2079	2078	toxin	plcN
PA3350	gnl|AGSH|F1S1R1D1B1P1A09_6	99.571	699	396283	699	696	surface appendages	
PA3351	gnl|AGSH|F1S1R1D1B1P1A09_6	99.691	324	396283	324	323	surface appendages	flgM
PA3352	gnl|AGSH|F1S1R1D1B1P1A09_6	99.363	471	396283	471	468	surface appendages	
PA3476	gnl|AGSH|F1S1R1D1B1P1A09_6	98.68	606	396283	606	598	quorum sensing	rhlI
PA3477	gnl|AGSH|F1S1R1D1B1P1A09_6	99.725	726	396283	726	724	quorum sensing	rhlR
PA3478	gnl|AGSH|F1S1R1D1B1P1A09_6	99.219	1281	396283	1281	1271	biofilm	rhlB
PA3479	gnl|AGSH|F1S1R1D1B1P1A09_6	99.437	888	396283	888	883	biofilm	rhlA
PA3526	gnl|AGSH|F1S1R1D1B1P1A09_6	100.0	966	396283	966	966	surface appendages	motY
PA3540	gnl|AGSH|F1S1R1D1B1P1A09_6	99.924	1311	396283	1311	1310	exopolysaccharide	algD
PA3541	gnl|AGSH|F1S1R1D1B1P1A09_6	99.798	1485	396283	1485	1482	exopolysaccharide	alg8
PA3542	gnl|AGSH|F1S1R1D1B1P1A09_6	99.402	1170	396283	1170	1163	exopolysaccharide	alg44
PA3543	gnl|AGSH|F1S1R1D1B1P1A09_6	99.65	1428	396283	1428	1423	exopolysaccharide	algK
PA3544	gnl|AGSH|F1S1R1D1B1P1A09_6	99.593	1473	396283	1473	1467	exopolysaccharide	algE
PA3545	gnl|AGSH|F1S1R1D1B1P1A09_6	99.755	1632	396283	1632	1628	exopolysaccharide	algG
PA3546	gnl|AGSH|F1S1R1D1B1P1A09_6	99.719	1425	396283	1425	1421	exopolysaccharide	algX
PA3547	gnl|AGSH|F1S1R1D1B1P1A09_6	99.909	1104	396283	1104	1103	exopolysaccharide	algL
PA3548	gnl|AGSH|F1S1R1D1B1P1A09_6	99.744	1563	396283	1563	1559	exopolysaccharide	algI
PA3549	gnl|AGSH|F1S1R1D1B1P1A09_6	99.745	1176	396283	1176	1173	exopolysaccharide	algJ
PA3550	gnl|AGSH|F1S1R1D1B1P1A09_6	99.539	651	396283	651	648	exopolysaccharide	algF
PA3551	gnl|AGSH|F1S1R1D1B1P1A09_6	99.654	1446	396283	1446	1441	exopolysaccharide	algA
PA3649	gnl|AGSH|F1S1R1D1B1P1A09_3	99.852	1353	493880	1353	1351	exopolysaccharide	mucP
PA3724	gnl|AGSH|F1S1R1D1B1P1A09_3	99.8	1497	493880	1497	1494	protease	lasB
PA3735	gnl|AGSH|F1S1R1D1B1P1A09_3	99.574	1410	493880	1410	1404	other	thrC
PA3756	gnl|AGSH|F1S1R1D1B1P1A09_3	100.0	501	493880	501	501	other	
PA3763	gnl|AGSH|F1S1R1D1B1P1A09_3	99.82	3897	493880	3897	3890	other	purL
PA3805	gnl|AGSH|F1S1R1D1B1P1A09_3	99.736	759	493880	759	757	surface appendages	pilF
PA3826	gnl|AGSH|F1S1R1D1B1P1A09_3	100.0	498	493880	498	498	other	
PA3831	gnl|AGSH|F1S1R1D1B1P1A09_3	99.53	1488	493880	1488	1481	PepA	pepA
